Quiz Patente — Link Report
Generated: 2026-04-25T20:00:34.062Z
MAX_IDS: 30

agente_traffico                patterns=["agente del traffico","vigile","polizia"] found=30
animali_vaganti                patterns=["animali vaganti","animali","selvatici"] found=30
macchine_agricole              patterns=["macchine agricole"]                    found=20
manovra                        patterns=["manovra"]                              found=30
marcia                         patterns=["marcia"]                               found=30
marciapiede                    patterns=["marciapiede"]                          found=30
massa                          patterns=["massa"]                                found=30
metri                          patterns=["metri"]                                found=30
mezzeria                       patterns=["mezzeria"]                             found=4
modo                           patterns=["modo"]                                 found=30
motociclo                      patterns=["motociclo"]                            found=30
motore_vietato                 patterns=["veicoli a motore"]                     found=30
nei_centri_abitati             patterns=["nei centri abitati"]                   found=30
norma                          patterns=["di norma"]                             found=30
obbliga                        patterns=["obbliga"]                              found=30
obbligatorio                   patterns=["obbligatorio","obbligatoria"]          found=30
obbligo                        patterns=["obbligo"]                              found=30
obbligo_vs_divieto_vs_pericolo patterns=["obbligo","divieto","pericolo"]         found=30
ordine_incrocio                patterns=["ordine di precedenza","precedenza all'incrocio"] found=3
ore                            patterns=["ore"]                                  found=30
ospedale                       patterns=["ospedale","pronto soccorso"]           found=17
pannello_integrativo           patterns=["pannello integrativo"]                 found=30
parcheggio                     patterns=["parcheggio"]                           found=30
parcheggio_scambio             patterns=["parcheggio di scambio","parcheggio riservato","taxi"] found=30
passaggio_a_livello            patterns=["passaggio a livello"]                  found=30
passaggio_obbligatorio         patterns=["passaggio obbligatorio"]               found=3
pedoni                         patterns=["pedoni"]                               found=30
percorso_riservato             patterns=["percorso riservato"]                   found=10
pericolo                       patterns=["pericolo"]                             found=30
preannuncia                    patterns=["preannuncia"]                          found=30
preavviso_incrocio             patterns=["preavviso di incrocio"]                found=2
precedenza                     patterns=["precedenza"]                           found=30
precedenza_a_sinistra          patterns=["precedenza a sinistra"]                found=2
precedenza_tram                patterns=["precedenza al tram"]                   found=3
precedenza_vs_diritto_di_via   patterns=["precedenza","diritto di precedenza"]   found=30
prima                          patterns=["prima"]                                found=30
prudenza                       patterns=["prudenza"]                             found=30
puo_essere                     patterns=["puo essere"]                           found=30
purche                         patterns=["purche"]                               found=30
raffigurato_indica             patterns=["raffigurato indica"]                   found=30
raffigurato_preannuncia        patterns=["raffigurato preannuncia"]              found=30
raffigurato_vieta              patterns=["raffigurato vieta"]                    found=30
regolare                       patterns=["regolare"]                             found=30
rimorchio                      patterns=["rimorchio","semirimorchio"]            found=30
riservata                      patterns=["riservata","riservato"]                found=30
rotatoria                      patterns=["rotatoria"]                            found=26
segnalazioni_acustiche         patterns=["segnalazioni acustiche"]               found=3
segnale                        patterns=["segnale"]                              found=30
segnale_di                     patterns=["segnale di (pericolo","obbligo","divieto)"] found=30
segnaletica                    patterns=["segnaletica"]                          found=30
segnali_indicazione            patterns=["segnali di indicazione"]               found=3
semaforo                       patterns=["semaforo"]                             found=30
sempre                         patterns=["sempre"]                               found=30
senso_unico                    patterns=["senso unico"]                          found=30
senso_vietato                  patterns=["senso vietato","divieto di accesso"]   found=1
sgomberare_incrocio            patterns=["sgomberare l'incrocio","sgomberare"]   found=3
solo                           patterns=["solo"]                                 found=30
sorpasso                       patterns=["sorpasso"]                             found=30
sorpasso_vietato               patterns=["sorpasso vietato","divieto di sorpasso"] found=14
sosta                          patterns=["sosta"]                                found=30
sosta_vs_fermata               patterns=["sosta","fermata"]                      found=30
spartitraffico                 patterns=["spartitraffico"]                       found=10
stop_segnale                   patterns=["fermarsi e dare precedenza (stop)"]    found=1
strada                         patterns=["strada"]                               found=30
strada_senza_uscita            patterns=["strada senza uscita"]                  found=8
strade_extraurbane             patterns=["strade extraurbane"]                   found=30
strettoia                      patterns=["strettoia"]                            found=19
striscia                       patterns=["striscia"]                             found=30
striscia_continua              patterns=["striscia continua"]                    found=24
striscia_discontinua           patterns=["striscia discontinua","tratteggiata"]  found=17
striscia_gialla                patterns=["striscia gialla"]                      found=4
svoltare                       patterns=["svoltare"]                             found=30
transito                       patterns=["transito"]                             found=30
trovare                        patterns=["trovare","trovarsi"]                   found=30
tutti                          patterns=["tutti","tutte"]                        found=30
una_strada                     patterns=["una strada"]                           found=30
unico                          patterns=["unico","unica"]                        found=30
vale                           patterns=["vale"]                                 found=30
veicolo                        patterns=["veicolo"]                              found=30
veicolo_vs_autoveicolo         patterns=["veicolo","autoveicolo","ciclomotore"]  found=30
velocita                       patterns=["velocita"]                             found=30
verde_semaforo                 patterns=["luce verde"]                           found=30
vietato                        patterns=["vietato","vietata"]                    found=30
visibilita                     patterns=["visibilita"]                           found=30

═══ ИТОГ ═══
Всего entries:       148
С совпадениями:      148
Без совпадений:      0
Всего question_ids:  3670
Среднее на entry:    24.8
